hit,le_qilai_n,no_le_n,qilai_le_n,sum,frame
结合,64,14822,56,14942,Amalgamation
 看,36,5705,3,5744,Perception_experience
发展,22,2704,120,2846,Progression
联系,55,2516,28,2599,Making_arrangements
 站,441,1968,179,2588,Change_posture
行动,22,2122,44,2188,Change_posture
建立,18,1848,139,2005,Intentionally_create
组织,7,1369,14,1390,Intentionally_create
 听,3,1289,0,1292,Perception_experience
成长,13,1201,38,1252,Progression
统一,10,1134,17,1161,Amalgamation
 说,19,1062,3,1084,Communication
 想,10,856,132,998,Cogitation
 做,18,891,38,947,Intentionally_create
联合,4,858,6,868,Amalgamation
 笑,356,487,16,859,Communication
 多,362,241,82,685,Change_position_on_a_scale
连接,12,593,11,616,Amalgamation
 爬,34,562,16,612,Self_motion
团结,3,602,6,611,Amalgamation
集中,5,521,6,532,Amalgamation
调动,34,426,60,520,Transfer
 好,58,421,39,518,Change_position_on_a_scale
开展,7,460,32,499,Progression
 吃,40,448,1,489,Perception_experience
 跳,145,325,12,482,Self_motion
活跃,36,396,28,460,Change_position_on_a_scale
 富,16,344,34,394,Change_position_on_a_scale
对立,5,373,8,386,Change_posture
 叫,102,225,10,337,Communication
 读,12,324,1,337,Perception_experience
 动,25,274,33,332,Self_motion
富裕,7,301,14,322,Change_position_on_a_scale
 建,15,233,55,303,Intentionally_create
利用,4,280,5,289,Using
 哭,171,97,19,287,Communication
 抓,37,206,37,280,Taking
 打,51,175,41,267,Self_motion
 响,120,108,27,255,Communication
先富,5,242,8,255,Change_position_on_a_scale
紧张,20,223,11,254,Change_position_on_a_scale
成熟,5,244,5,254,Change_position_on_a_scale
 合,2,244,1,247,Amalgamation
 坐,75,161,10,246,Change_posture
动员,5,226,14,245,Amalgamation
 藏,50,163,27,240,Eclipse
热闹,37,167,28,232,Change_position_on_a_scale
收集,1,225,1,227,Amalgamation
 亮,60,139,24,223,Change_position_on_a_scale
组合,1,209,2,212,Amalgamation
 算,3,200,0,203,Amalgamation
