function,frequency
iterative,44
durative-iterative,41
intensive,38
continuative,28
durative-continuative,24
multiple subject,20
multiple location,19
frequentative,18
attenuative of intensity,17
completive,16
habitual,11
multiple object,9
distributive object,9
reciprocal,9
attenuative of extent,8
intranstive,7
emphatic,6
repetitive,6
transitive,5
distributive subject,4
exhaustive object,4
no change,4
random,4
attenuative of tone,3
pretence,3
stative,3
complex procedure,2
consecutive,2
excess,2
future,2
gradual,2
inceptive,2
irrealis,2
noncontrol,2
purposive,2
reflexive,2
Scene-setting,2
causative,1
dual location,1
dual subject,1
exhausive subject,1
negative,1
oscillating,1
past,1
perfect,1
