title,left,poss,way,right
Dubliners,i groped ,my,way, towards my usual chair in the corner while nannie went
Dubliners,he glanced up at us quickly and then continued ,his,way,
Dubliners,the man out of the last house passed on ,his,way, home
Dubliners,leather purse tightly in ,her,way, through the crowds and returning home late under her load
Dubliners,for grafton street while the two young men pushed ,their,way, through the knot of gazers
Dubliners,of girls and young men had thinned and on ,his,way, up the street he heard many groups and couples bidding
Dubliners,he picked ,his,way, deftly through all that minute vermin
Dubliners,in the city late at night he hurried on ,his,way, apprehensively and excitedly
Dubliners,what was it that stood in ,his,way,
Dubliners,out of ,her,way, quickly among the crowds
Dubliners,so maria let him have ,his,way, and they sat by the fire talking over old times
Dubliners,they had ,their,way,
Dubliners,suit cleared ,his,way, through the ring of bystanders
Dubliners,he saw ,her,way, towards him through the waltzing couples
Dubliners,while she was threading ,her,way, back across the room mrs malins
Chamber Music,to love before him on ,his,way,
A Portrait of the Artist as a Young Man,and forced ,his,way, through the crowd in the hall and past the two
A Portrait of the Artist as a Young Man,passing on ,his,way, amid the squalor and noise and sloth of the city
A Portrait of the Artist as a Young Man,i thanked ,my,way, again
A Portrait of the Artist as a Young Man,you will see ,your,way,
A Portrait of the Artist as a Young Man,,your,way, in life and in thinking
A Portrait of the Artist as a Young Man,on ,his,way, to the table
A Portrait of the Artist as a Young Man,you are right to go ,your,way,
A Portrait of the Artist as a Young Man,temple like a celebrant attended by ,his,way, to the altar
A Portrait of the Artist as a Young Man,she was on ,her,way, to meet her mother whom she had not seen for
Ulysses,_i paid ,my,way,
Ulysses,i paid ,my,way,
Ulysses,take me out of ,my,way,
Ulysses,piking it down the quay next the river on ,their,way, to the isle of man boat and the young chiseller
Ulysses,through a lane of clanking drums he made ,his,way, towards nannetti
Ulysses,mr bloom stood in ,his,way,
Ulysses,on ,my,way,
Ulysses,germans making ,their,way, everywhere
Ulysses,mr bloom on ,his,way, out raised three fingers in greeting
Ulysses,the blind stripling tapped the curbstone and went on ,his,way,
Ulysses,tapping ,his,way, round by the stones
Ulysses,i paid ,my,way,
Ulysses,i paid ,my,way,
Ulysses,and really did great good in ,his,way,
Ulysses,distantly behind him a blind stripling tapped ,his,way, by the wall of college park
Ulysses,the viceroy was most cordially greeted on ,his,way, through the metropolis
Ulysses,steering ,his,way, from the greenhouse for the subsheriff
Ulysses,on ,his,way, to inaugurate the mirus bazaar in aid of funds for
Ulysses,miss kennedy passed ,their,way,
Ulysses,in ,his,way,
Ulysses,a cab five times in the week after drinking ,his,way, through all the samples in the bloody establishment
Ulysses,emotion were reached when the blushing bride elect burst ,her,way, through the serried ranks of the bystanders and flung herself
Ulysses,and as they wended ,their,way, by nelson
Ulysses,was high time too because the sandman was on ,his,way, for master boardman junior
Ulysses,little baby then less he was big strong fight ,his,way, up through
Ulysses,must wheedle ,her,way, along
Ulysses,i who lost ,my,way, and contributed to the columns of the _irish cyclist_ the
Ulysses,wind ,their,way, through miles of omnivorous forest to sucksucculent her breast dry
Ulysses,i paid ,my,way,
Ulysses,had a liquor together and i was just making ,my,way, home
Ulysses,were on the other hand others who had forced ,their,way, to the top from the lowest rung by the aid
Ulysses,quickly perceived as highly likely to carve ,his,way, to fame which he almost bid fair to do till
Ulysses,would allow him to help to put coin in ,his,way, or some wardrobe
Ulysses,t appear in any particular hurry to wend ,his,way, home to his dearly beloved queenstown and it was highly
Ulysses,properly attended to so as to the better worm ,his,way, into their good graces as he
Ulysses,walk ,your,way,
Ulysses,yes but he was a real old gent in ,his,way, it was impossible to be more respectful nobody to say
Ulysses,the way hed take it you want to feel ,your,way, with a man theyre not all like him thank god
Ulysses,of julius caesar of course hes right enough in ,his,way, to pass the time as a joke sure you might
